ingredient,df_category,df_cat_sum,ingredient_sum,df_cat_percentage,df_cat_count
Acyclovir,oral,8.49,10.72,79.1977611940299,2
Acyclovir,topical,2.23,10.72,20.8022388059701,2
Ciprofloxacin,oral,39.78,50.4,78.9285714285714,3
Ciprofloxacin,otic,6.88,50.4,13.6507936507937,3
Ciprofloxacin,ophtalmic,3.74,50.4,7.42063492063492,3
Clindamycin,oral,19.5,35.44,55.0225733634312,4
Clindamycin,topical,14.84,35.44,41.8735891647856,4
Clindamycin,vaginal,1.1,35.44,3.1038374717833,4
Clindamycin,injection,0,35.44,0,4
Diclofenac,oral,12.39,17.8,69.6067415730337,4
Diclofenac,topical,4.75,17.8,26.685393258427,4
Diclofenac,transdermal,0.44,17.8,2.47191011235955,4
Diclofenac,ophtalmic,0.22,17.8,1.23595505617978,4
Dihydroergotamine,injection,0.13,0.23,56.5217391304348,2
Dihydroergotamine,nasal,0.1,0.23,43.4782608695652,2
Ivermectin,oral,0.32,0.53,60.377358490566,2
Ivermectin,topical,0.21,0.53,39.622641509434,2
Neomycin,otic,6.02,9.7,62.0618556701031,4
Neomycin,ophtalmic,3.41,9.7,35.1546391752577,4
Neomycin,oral,0.23,9.7,2.37113402061856,4
Neomycin,topical,0.04,9.7,0.412371134020619,4
Pilocarpine,oral,0.19,0.26,73.0769230769231,2
Pilocarpine,ophtalmic,0.07,0.26,26.9230769230769,2
Progesterone,oral,4.03,4.59,87.7995642701525,3
Progesterone,injection,0.33,4.59,7.18954248366013,3
Progesterone,vaginal,0.23,4.59,5.01089324618736,3
Tacrolimus,topical,0.93,1.82,51.0989010989011,2
Tacrolimus,oral,0.89,1.82,48.9010989010989,2
Tetracaine,topical,0.02,0.04,50,3
Tetracaine,ophtalmic,0.02,0.04,50,3
Tetracaine,transdermal,0,0.04,0,3
Triamcinolone,injection,28.91,55.17,52.4016675729563,3
Triamcinolone,topical,25.15,55.17,45.5863694036614,3
Triamcinolone,oral,1.11,55.17,2.01196302338227,3
