ingredient,df_category,df_cat_sum,ingredient_sum,df_cat_percentage,df_cat_count
4-Aminobenzoate,oral,0,0,NaN,1
4-cresyl acetate,otic,0,0,NaN,1
6-Aminocaproic Acid,oral,0.04,0.04,100,1
abacavir,oral,0.2,0.2,100,1
abatacept,injection,0.01,0.01,100,1
abiraterone,oral,0.02,0.02,100,1
abobotulinumtoxinA,injection,0.02,0.02,100,1
acamprosate,oral,0.16,0.16,100,1
Acarbose,oral,0.15,0.15,100,1
Acebutolol,oral,0.14,0.14,100,1
"acellular pertussis vaccine, inactivated",injection,0.39,0.39,100,1
Acetaminophen,oral,183.24,183.24,100,1
Acetazolamide,oral,0.89,0.89,100,1
Acetic Acid,otic,0.48,0.51,94.1176470588235,3
Acetic Acid,vaginal,0.03,0.51,5.88235294117647,3
Acetic Acid,Irrigation Solution,0,0.51,0,3
Acetylcysteine,inhalant,0.03,0.03,100,1
Acitretin,oral,0.1,0.1,100,1
acrivastine,oral,0.05,0.05,100,1
Acyclovir,oral,8.49,10.72,79.1977611940299,2
Acyclovir,topical,2.23,10.72,20.8022388059701,2
adapalene,topical,7.06,7.06,100,1
adefovir,oral,0.01,0.01,100,1
Afatinib,oral,0,0,NaN,1
aflibercept,injection,0,0,NaN,1
Albendazole,oral,0.27,0.27,100,1
"Albumin Human, USP",injection,0.2,0.2,100,1
"ALBUMIN,IODINATED I-131 SERUM",injection,0,0,NaN,1
Albuterol,inhalant,20.91,21.61,96.760758907913,2
Albuterol,oral,0.7,21.61,3.239241092087,2
alcaftadine,ophtalmic,0.38,0.38,100,1
Alclometasone,topical,0.44,0.44,100,1
Alendronate,oral,2.68,2.69,99.6282527881041,2
Alendronate,Effervescent Oral Tablet,0.01,2.69,0.371747211895911,2
alfuzosin,oral,0.54,0.54,100,1
aliskiren,oral,0.26,0.26,100,1
Allantoin,topical,0.01,0.01,100,1
Allopurinol,oral,6.66,6.66,100,1
almotriptan,oral,0.12,0.12,100,1
